datetime,AT_solar_generation_actual
2016-05-06,18730.88
2016-05-07,18698.77
2016-05-08,17287.33
2016-05-09,17595.27
2016-05-10,15929.98
2016-05-11,15157.82
2016-05-12,9974.8
2016-05-13,10091.51
2016-05-14,10802.64
2016-05-15,15391.45
2016-05-16,14229.55
2016-05-17,16884.37
2016-05-18,20025.5
2016-05-19,13741.84
2016-05-20,13792.08
2016-05-21,18493.46
2016-05-22,20693.63
2016-05-23,15676.2
2016-05-24,11552.07
2016-05-25,17363.99
2016-05-26,17972.63
2016-05-27,16073.0
2016-05-28,17506.52
2016-05-29,16292.2
2016-05-30,16138.49
2016-05-31,15608.77
2016-06-01,0.0
2016-06-02,14648.84
2016-06-03,14889.27
2016-06-04,15621.51
2016-06-05,12131.31
2016-06-06,16385.63
2016-06-07,18115.1
2016-06-08,17071.03
2016-06-09,11534.37
2016-06-10,16590.829999999998
2016-06-11,13203.56
2016-06-12,11903.61
2016-06-13,12917.26
2016-06-14,13989.7
2016-06-15,13762.05
2016-06-16,14645.68
2016-06-17,17244.170000000002
2016-06-18,16593.27
2016-06-19,11036.81
2016-06-20,10902.01
2016-06-21,15750.72
2016-06-22,16423.99
2016-06-23,19017.12
2016-06-24,18279.73
2016-06-25,15752.119999999999
2016-06-26,11350.95
2016-06-27,13215.93
2016-06-28,18019.28
2016-06-29,18291.47
2016-06-30,15195.08
2016-07-01,15693.35
2016-07-02,15536.06
2016-07-03,15009.42
2016-07-04,18385.13
2016-07-05,15808.35
2016-07-06,16086.59
2016-07-07,17691.45
2016-07-08,17023.82
2016-07-09,17115.04
2016-07-10,18074.2
2016-07-11,16850.97
2016-07-12,12537.17
2016-07-13,10450.28
2016-07-14,11583.76
2016-07-15,13922.0
2016-07-16,14022.09
2016-07-17,13192.36
2016-07-18,15717.72
2016-07-19,17301.3
2016-07-20,18452.66
2016-07-21,14963.66
2016-07-22,14600.13
2016-07-23,14037.95
2016-07-24,14495.75
2016-07-25,11960.15
2016-07-26,12319.97
2016-07-27,12837.39
2016-07-28,12515.39
2016-07-29,15763.73
2016-07-30,16989.35
2016-07-31,13813.15
2016-08-01,14599.3
2016-08-02,16315.06
2016-08-03,15908.74
2016-08-04,16285.67
2016-08-05,13023.3
2016-08-06,14960.1
2016-08-07,18692.62
2016-08-08,19097.74
2016-08-09,12994.39
2016-08-10,10105.26
2016-08-11,16440.78
2016-08-12,12454.39
2016-08-13,17252.52
2016-08-14,17980.94
2016-08-15,15095.2
2016-08-16,15516.75
2016-08-17,14238.73
2016-08-18,13866.27
2016-08-19,14863.41
2016-08-20,13808.289999999999
2016-08-21,11352.23
2016-08-22,14820.02
2016-08-23,17486.9
2016-08-24,17270.78
2016-08-25,17628.18
2016-08-26,17545.23
2016-08-27,17321.45
2016-08-28,16879.21
2016-08-29,10873.89
2016-08-30,13369.02
2016-08-31,16755.63
2016-09-01,17096.47
2016-09-02,15237.76
2016-09-03,13735.11
2016-09-04,14614.8
2016-09-05,10932.03
2016-09-06,10243.02
2016-09-07,15234.7
2016-09-08,15986.24
2016-09-09,15959.97
2016-09-10,14866.88
2016-09-11,15011.11
2016-09-12,15242.33
2016-09-13,14696.64
2016-09-14,14740.59
2016-09-15,14501.0
2016-09-16,12932.69
2016-09-17,10133.56
2016-09-18,9759.19
2016-09-19,8704.88
2016-09-20,11784.27
2016-09-21,12411.78
2016-09-22,13602.29
2016-09-23,11369.8
2016-09-24,13626.14
2016-09-25,13077.13
2016-09-26,10614.52
2016-09-27,12867.1
2016-09-28,12178.02
2016-09-29,11699.33
2016-09-30,12399.49
2016-10-01,12329.19
2016-10-02,7360.58
2016-10-03,8884.24
2016-10-04,6912.35
2016-10-05,10067.68
2016-10-06,7837.599999999999
2016-10-07,8397.11
2016-10-08,8600.77
2016-10-09,9402.33
2016-10-10,8998.45
2016-10-11,6561.44
2016-10-12,8152.11
2016-10-13,10235.99
2016-10-14,9547.18
2016-10-15,7689.5199999999995
2016-10-16,9889.23
2016-10-17,7984.88
2016-10-18,5845.99
2016-10-19,6167.34
2016-10-20,5552.93
2016-10-21,5864.06
2016-10-22,8751.07
2016-10-23,6641.32
2016-10-24,8023.77
2016-10-25,7477.45
2016-10-26,5575.79
2016-10-27,6670.01
2016-10-28,0.0
2016-10-29,7477.27
2016-10-30,6451.97
2016-10-31,8032.42
2016-11-01,8287.02
2016-11-02,5672.76
2016-11-03,7403.82
2016-11-04,6694.8
2016-11-05,6655.99
2016-11-06,3975.16
2016-11-07,4351.39
2016-11-08,5010.0
2016-11-09,6368.2
2016-11-10,4077.5
2016-11-11,3888.28
2016-11-12,3541.7
2016-11-13,5015.33
2016-11-14,5932.2699999999995
2016-11-15,4803.17
2016-11-16,3976.12
2016-11-17,4232.13
2016-11-18,5424.27
2016-11-19,2937.78
2016-11-20,4918.33
2016-11-21,5906.17
2016-11-22,5814.87
2016-11-23,4802.61
2016-11-24,4658.66
2016-11-25,3156.83
2016-11-26,2962.87
2016-11-27,3416.46
2016-11-28,4309.55
2016-11-29,4657.59
2016-11-30,4278.54
2016-12-01,3230.9100000000003
2016-12-02,4283.65
2016-12-03,4145.25
2016-12-04,3871.29
2016-12-05,3735.54
2016-12-06,4127.52
2016-12-07,3914.82
2016-12-08,3615.65
2016-12-09,4511.1
2016-12-10,4342.0
2016-12-11,3666.52
2016-12-12,3442.12
2016-12-13,3621.95
2016-12-14,3106.5
2016-12-15,3337.98
2016-12-16,3633.72
2016-12-17,3640.62
2016-12-18,2858.62
2016-12-19,2875.58
2016-12-20,3022.92
2016-12-21,3230.41
2016-12-22,2970.77
2016-12-23,3059.29
2016-12-24,2729.1
2016-12-25,2355.32
2016-12-26,3393.5299999999997
2016-12-27,3565.23
2016-12-28,2894.79
2016-12-29,3579.07
2016-12-30,3526.08
2016-12-31,3808.08
2017-01-01,3595.88
2017-01-02,3158.2200000000003
2017-01-03,3008.0
2017-01-04,2212.42
2017-01-05,1860.5
2017-01-06,2058.2
2017-01-07,2674.09
2017-01-08,1747.99
2017-01-09,2170.24
2017-01-10,2085.79
2017-01-11,2044.2
2017-01-12,2258.61
2017-01-13,1902.45
2017-01-14,1962.91
2017-01-15,2701.26
2017-01-16,2469.57
2017-01-17,2048.99
2017-01-18,2259.29
2017-01-19,2598.18
2017-01-20,2800.35
2017-01-21,2712.89
2017-01-22,2784.36
2017-01-23,2151.95
2017-01-24,2629.22
2017-01-25,2782.39
2017-01-26,3014.73
2017-01-27,3143.56
2017-01-28,3158.02
2017-01-29,3131.26
2017-01-30,3237.63
2017-01-31,2860.77
2017-02-01,2821.15
2017-02-02,3287.05
2017-02-03,3779.89
