"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","02.01.2016 12:30 - 02.01.2016 12:45 (UTC)","80"
"Austria (AT)","02.01.2016 12:45 - 02.01.2016 13:00 (UTC)","77"
"Austria (AT)","02.01.2016 13:00 - 02.01.2016 13:15 (UTC)","70"
"Austria (AT)","02.01.2016 13:15 - 02.01.2016 13:30 (UTC)","64"
"Austria (AT)","02.01.2016 13:30 - 02.01.2016 13:45 (UTC)","57"
"Austria (AT)","02.01.2016 13:45 - 02.01.2016 14:00 (UTC)","51"
"Austria (AT)","02.01.2016 14:00 - 02.01.2016 14:15 (UTC)","43"
"Austria (AT)","02.01.2016 14:15 - 02.01.2016 14:30 (UTC)","35"
"Austria (AT)","02.01.2016 14:30 - 02.01.2016 14:45 (UTC)","27"
"Austria (AT)","02.01.2016 14:45 - 02.01.2016 15:00 (UTC)","19"
"Austria (AT)","02.01.2016 15:00 - 02.01.2016 15:15 (UTC)","16"
"Austria (AT)","02.01.2016 15:15 - 02.01.2016 15:30 (UTC)","13"
"Austria (AT)","02.01.2016 15:30 - 02.01.2016 15:45 (UTC)","10"
"Austria (AT)","02.01.2016 15:45 - 02.01.2016 16:00 (UTC)","8"
"Austria (AT)","02.01.2016 16:00 - 02.01.2016 16:15 (UTC)","7"
"Austria (AT)","02.01.2016 16:15 - 02.01.2016 16:30 (UTC)","7"
"Austria (AT)","02.01.2016 16:30 - 02.01.2016 16:45 (UTC)","7"
"Austria (AT)","02.01.2016 16:45 - 02.01.2016 17:00 (UTC)","7"
"Austria (AT)","02.01.2016 17:00 - 02.01.2016 17:15 (UTC)","7"
"Austria (AT)","02.01.2016 17:15 - 02.01.2016 17:30 (UTC)","7"
"Austria (AT)","02.01.2016 17:30 - 02.01.2016 17:45 (UTC)","7"
"Austria (AT)","02.01.2016 17:45 - 02.01.2016 18:00 (UTC)","7"
"Austria (AT)","02.01.2016 18:00 - 02.01.2016 18:15 (UTC)","0"
"Austria (AT)","02.01.2016 18:15 - 02.01.2016 18:30 (UTC)","0"
"Austria (AT)","02.01.2016 18:30 - 02.01.2016 18:45 (UTC)","0"
"Austria (AT)","02.01.2016 18:45 - 02.01.2016 19:00 (UTC)","0"
"Austria (AT)","02.01.2016 19:00 - 02.01.2016 19:15 (UTC)","0"
"Austria (AT)","02.01.2016 19:15 - 02.01.2016 19:30 (UTC)","0"
"Austria (AT)","02.01.2016 19:30 - 02.01.2016 19:45 (UTC)","0"
"Austria (AT)","02.01.2016 19:45 - 02.01.2016 20:00 (UTC)","0"
"Austria (AT)","02.01.2016 20:00 - 02.01.2016 20:15 (UTC)","0"
"Austria (AT)","02.01.2016 20:15 - 02.01.2016 20:30 (UTC)","0"
"Austria (AT)","02.01.2016 20:30 - 02.01.2016 20:45 (UTC)","0"
"Austria (AT)","02.01.2016 20:45 - 02.01.2016 21:00 (UTC)","0"
"Austria (AT)","02.01.2016 21:00 - 02.01.2016 21:15 (UTC)","0"
"Austria (AT)","02.01.2016 21:15 - 02.01.2016 21:30 (UTC)","0"
"Austria (AT)","02.01.2016 21:30 - 02.01.2016 21:45 (UTC)","0"
"Austria (AT)","02.01.2016 21:45 - 02.01.2016 22:00 (UTC)","0"
"Austria (AT)","02.01.2016 22:00 - 02.01.2016 22:15 (UTC)","0"
"Austria (AT)","02.01.2016 22:15 - 02.01.2016 22:30 (UTC)","0"
"Austria (AT)","02.01.2016 22:30 - 02.01.2016 22:45 (UTC)","0"
"Austria (AT)","02.01.2016 22:45 - 02.01.2016 23:00 (UTC)","0"
"Austria (AT)","02.01.2016 23:00 - 02.01.2016 23:15 (UTC)","0"
"Austria (AT)","02.01.2016 23:15 - 02.01.2016 23:30 (UTC)","0"
"Austria (AT)","02.01.2016 23:30 - 02.01.2016 23:45 (UTC)","0"
"Austria (AT)","02.01.2016 23:45 - 03.01.2016 00:00 (UTC)","0"
"Austria (AT)","03.01.2016 00:00 - 03.01.2016 00:15 (UTC)","0"
"Austria (AT)","03.01.2016 00:15 - 03.01.2016 00:30 (UTC)","0"
"Austria (AT)","03.01.2016 00:30 - 03.01.2016 00:45 (UTC)","0"
"Austria (AT)","03.01.2016 00:45 - 03.01.2016 01:00 (UTC)","0"
"Austria (AT)","03.01.2016 01:00 - 03.01.2016 01:15 (UTC)","0"
"Austria (AT)","03.01.2016 01:15 - 03.01.2016 01:30 (UTC)","0"
"Austria (AT)","03.01.2016 01:30 - 03.01.2016 01:45 (UTC)","0"
"Austria (AT)","03.01.2016 01:45 - 03.01.2016 02:00 (UTC)","0"
"Austria (AT)","03.01.2016 02:00 - 03.01.2016 02:15 (UTC)","0"
"Austria (AT)","03.01.2016 02:15 - 03.01.2016 02:30 (UTC)","0"
"Austria (AT)","03.01.2016 02:30 - 03.01.2016 02:45 (UTC)","0"
"Austria (AT)","03.01.2016 02:45 - 03.01.2016 03:00 (UTC)","0"
"Austria (AT)","03.01.2016 03:00 - 03.01.2016 03:15 (UTC)","0"
"Austria (AT)","03.01.2016 03:15 - 03.01.2016 03:30 (UTC)","0"
"Austria (AT)","03.01.2016 03:30 - 03.01.2016 03:45 (UTC)","0"
"Austria (AT)","03.01.2016 03:45 - 03.01.2016 04:00 (UTC)","0"
"Austria (AT)","03.01.2016 04:00 - 03.01.2016 04:15 (UTC)","0"
"Austria (AT)","03.01.2016 04:15 - 03.01.2016 04:30 (UTC)","0"
"Austria (AT)","03.01.2016 04:30 - 03.01.2016 04:45 (UTC)","0"
"Austria (AT)","03.01.2016 04:45 - 03.01.2016 05:00 (UTC)","0"
"Austria (AT)","03.01.2016 05:00 - 03.01.2016 05:15 (UTC)","0"
"Austria (AT)","03.01.2016 05:15 - 03.01.2016 05:30 (UTC)","0"
"Austria (AT)","03.01.2016 05:30 - 03.01.2016 05:45 (UTC)","0"
"Austria (AT)","03.01.2016 05:45 - 03.01.2016 06:00 (UTC)","0"
"Austria (AT)","03.01.2016 06:00 - 03.01.2016 06:15 (UTC)","8"
"Austria (AT)","03.01.2016 06:15 - 03.01.2016 06:30 (UTC)","8"
"Austria (AT)","03.01.2016 06:30 - 03.01.2016 06:45 (UTC)","8"
"Austria (AT)","03.01.2016 06:45 - 03.01.2016 07:00 (UTC)","8"
"Austria (AT)","03.01.2016 07:00 - 03.01.2016 07:15 (UTC)","8"
"Austria (AT)","03.01.2016 07:15 - 03.01.2016 07:30 (UTC)","10"
"Austria (AT)","03.01.2016 07:30 - 03.01.2016 07:45 (UTC)","11"
"Austria (AT)","03.01.2016 07:45 - 03.01.2016 08:00 (UTC)","13"
"Austria (AT)","03.01.2016 08:00 - 03.01.2016 08:15 (UTC)","18"
"Austria (AT)","03.01.2016 08:15 - 03.01.2016 08:30 (UTC)","24"
"Austria (AT)","03.01.2016 08:30 - 03.01.2016 08:45 (UTC)","29"
"Austria (AT)","03.01.2016 08:45 - 03.01.2016 09:00 (UTC)","35"
"Austria (AT)","03.01.2016 09:00 - 03.01.2016 09:15 (UTC)","41"
"Austria (AT)","03.01.2016 09:15 - 03.01.2016 09:30 (UTC)","46"
"Austria (AT)","03.01.2016 09:30 - 03.01.2016 09:45 (UTC)","52"
"Austria (AT)","03.01.2016 09:45 - 03.01.2016 10:00 (UTC)","57"
"Austria (AT)","03.01.2016 10:00 - 03.01.2016 10:15 (UTC)","60"
"Austria (AT)","03.01.2016 10:15 - 03.01.2016 10:30 (UTC)","63"
"Austria (AT)","03.01.2016 10:30 - 03.01.2016 10:45 (UTC)","67"
"Austria (AT)","03.01.2016 10:45 - 03.01.2016 11:00 (UTC)","70"
"Austria (AT)","03.01.2016 11:00 - 03.01.2016 11:15 (UTC)","71"
"Austria (AT)","03.01.2016 11:15 - 03.01.2016 11:30 (UTC)","72"
"Austria (AT)","03.01.2016 11:30 - 03.01.2016 11:45 (UTC)","72"
"Austria (AT)","03.01.2016 11:45 - 03.01.2016 12:00 (UTC)","72"
"Austria (AT)","03.01.2016 12:00 - 03.01.2016 12:15 (UTC)","70"
"Austria (AT)","03.01.2016 12:15 - 03.01.2016 12:30 (UTC)","67"
"Austria (AT)","03.01.2016 12:30 - 03.01.2016 12:45 (UTC)","63"
"Austria (AT)","03.01.2016 12:45 - 03.01.2016 13:00 (UTC)","59"
"Austria (AT)","03.01.2016 13:00 - 03.01.2016 13:15 (UTC)","54"
"Austria (AT)","03.01.2016 13:15 - 03.01.2016 13:30 (UTC)","48"
"Austria (AT)","03.01.2016 13:30 - 03.01.2016 13:45 (UTC)","43"
"Austria (AT)","03.01.2016 13:45 - 03.01.2016 14:00 (UTC)","37"
"Austria (AT)","03.01.2016 14:00 - 03.01.2016 14:15 (UTC)","32"
"Austria (AT)","03.01.2016 14:15 - 03.01.2016 14:30 (UTC)","26"
"Austria (AT)","03.01.2016 14:30 - 03.01.2016 14:45 (UTC)","21"
"Austria (AT)","03.01.2016 14:45 - 03.01.2016 15:00 (UTC)","16"
